ANAESTHETICS,,,,,,
GENERAL ANAESTHETICS,,,,,,
DOSAGE FORM,STRENGTHS,"PRESENTATION","UNIT PRICE N",,,
"Antirabies Hyperimmune serum",Injection,1000 unit in 5 ml Ampoule,Amp.,,,
Anti Scorpion serum,Injection,1 ml in Ampoule,Amp.,,,
Anti snake bite serum,Injection,"Polyvalent, 10 ml, 20 ml in Ampoule",Amp.,,,
"Gas gangrene anti toxin",Injection,"4,000 units in vial, 10,000 units in vial",Vial*,,,
"Normal immunoglobulin","IV Injection,","30mg/ml, 165mg/ml",Vial*,,,
Tetanus antitoxin,Injection,"1500 units/amp, 10,000 units and 50,000 units/ ampoule",Amp.,,,
BCG Vaccines dried,Injection,"Powder for reconstitution in multidose amp 1ml, 5 ml",,,,
"Diptheria, Tetanus and Pertussis Vaccine",Injection,"0.5ml, 5ml",,,,
Measles vaccine,Injection,0.5ml,,,,
"Measeles, Mumps & Rubella vaccine",Injection,0.5 ml,,,,
Poliomyelitis vaccine,Oral suspension,,,,,
Tetanus vaccine,Injection,"Formoltoxoid, 0.5 ml, 5 ml vial","0.5ml, amp.",,,
Cholera vaccine,Injection,1.5ml – 50 ml in Ampoule or vial,,,,
Hepatitis B Vaccine,Injection,"0.02 mg/ml in 0.5 ml, 1 ml vial",,,,
"Meningococcal vaccine",Injection,"Powder for reconstitution in multidose vial of 0.5mg , 2.5 mg",,,,
Rabies vaccine,Injection,1 ml,,,,
Typhoid vaccine,Injection,"10 ml vial (20 doses), 25ml/vial (50 doses), 0.5 ml/syringe",,,,
Typhoid vaccine,Injection,1.5ml/vial,,,,
(TAB),,,,,,
Yellow fever vaccine,Injection,"Powder for reconstitution 1,5 and 10 dose vial",,,,
,,,,,,
Chloramphenicol,"Eye Drops Eye Ointment","0.5% 1%","10mls 5gm",,,
Gentamicin,Eye Drops,0.3%  (Sulphate),10mls,,,
"Antazoline HCL, Tetrazoline HCL, Methylhydroxy Propyl cellulose.",Eye Drops,,5mls,,,
Tetrahydrozoline(HCl),Eye Drops,0.05%,10mls,,,
Acyclovir,Eye ointment,3.00%,5gms,,,
Idoxuridine,Eye ointment,0.10%,,,,
Gentamycin,Eye drops,0.30%,10mls,,,
Miconazole,Eye Drops,10mg/ml Injection,,,,
"Oxytetracycline plus Polymyxin B",Eye ointment,"5mg + 10,000 unit",5gms,,,
Prednisolone,Eye Drops,1% (Acetate) 5% (Sodium phosphate),5mls,,,
Amethocaine,Eye Drop,"0.5%, 1%",,,,
Acetazolamide,"Tablet Injection","250mg 500 mg/vial","Tab. Vial",,,
Pilocarpine,Eye Drops,"1%, 2%, 3%, 4%,  (HCL)",5mls,,,
Timolol,Eye Drops,"0.25, 0.5% (Maleate)",10mls,,,
Atropine,Eye Drops,"0.5%, 1%  (Sulphate)",5mls,,,
Homatropine,Eye Drops,"2%, 1% (Hydrobromide)",5mls,,,
Tropicamide,Eye Drops,"0.5%, 1%",10mls,,,
Phenylephrine,Eye Drops,"0.25%, 0.5%, 2.5%, 10%",,,,
Flourescein sodium,Eye Drops,"1%, 2%",,,,
Methylcellulose,Eye Drops,"1%, 2%",,,,
Ergometrine,"Tablet  Injection","0.5mg (Maleate)  0.5mg/ml  (Maleate)","Tab.  Amp.",,,
Oxytocin,Injection,"10 units/ml, 5 units/ml in Ampoules",Amp.,,,
Salbutamol,"Tablet Injection Syrup","(SO4) 2mg, 4 mg (SO4) 0.5 mg/ml, 1mg/ml 2 mg/5ml","Tab. Amp. 100mls",,,
Oral Rehydration Salt,powder,(See 18.5.2),Sachet,,,
"Potassium Chloride (slow release)","Tablet Oral solution","600mg 5%, 10%, 20%","Tab. Sol.",,,
Darrow’s Solution,"Injection, BP",½ & full strength,,,,
Glucose (Dextrose),Injection,"5% & 10%   50% in water",,,,
"Dextrose + Sodium Chloride",Infusion,5% + 0.9%,,,,
"Glucose + Sodium Chloride (Paediatric)",Injection,4.3% + 0.18%,,,,
Potassium Chloride,Injection Strong,15% in 10ml Ampoule,,,,
"Sodium   Lactate  Compound solution",Injection,"Solution, BP",,,,
Sodium Bicarbonate,Injection,1.4% in 10ml (isotonic),,,,
Ringer’s Lactate,"Injection, BP",,,,,
"Water for Injection  Sodium chloride","Injection  Infusion","2ml, 5ml, 10ml, 20 ml,50ml  0.9%, 0.45%",,,,
Mannitol,Injection,"10%, 20%",,,,
Water for injection,Injection,"2ml, 5ml, 10ml, 20ml, 50ml per amp/vial",Vial.,,,
"Intraperitoneal Dialysis fluid B.P.C.",Parenteral; solution,"Calcium Chloride 0.22gm, dextrose 17g, magnesium chloride 0.152g, sodium acetate 4.76g, sodium chloride 5.56g, sodium metabisulphate 0.15g",,,,
Haemodialysis fluid,Heamodialysis fluid B.P.,,,,,
Diazepam,"Tablets  Injection  Syrup","5mg, 2mg, 10mg  5mg/ml in 2ml  2mg/5ml","Tab.  Amp.  100mls",,,
Lorazepam,Tablets,"1mg, 2.5mg",Tab,,,
Nitrazepam,Tablets,5mg,Tab.,,,
Amitriptyline,"Tablets Tablet","25mg (HCL) 50mg","Tab. Tab.",,,
Imipramine,"Tablets Tablet","10mg,  25mg  (HCL)","Tab. Tab.",,,
"Chlorpromazine        Fluphenazine   Flupenthixol   Haloperidol","Tablets Tablet Tablet  Syrup  Injection  Injection  (oily)   Injection (depot)  Tablet  Injection  Tablet  Drops, oral","25mg 50mg 100mg  (HCL)  25mg/5ml (HCL)  25mg/ml (HCL) in 2ml Ampoule  25mg/ml in 1ml Ampoule (decanoate or enanthate)  20mg (decanoate  or enanthate) in 1ml Ampoule 1.5mg, 3mg   50mg/ml, 100mg/ml, 2mg, 5mg 2mg, 5mg. 10mg 2mg/ml, 10mg/ml","Tab. Tab. Tab.  100mls  Amp.  Amp.   Amp.  Tab.  Amp. Tab.",,,
"Benzhexol (triehexylphenidyl)",Tablets,"2mg, 5mg (HCL)",Tab.,,,
Biperidem,"Tablet (Hcl) Injection","2mg, 5mg (Hcl) 5mg/ml","Tab. Amp.",,,
Adrenaline,Injection,1mg/ml  (1 in 1000) in 1ml Ampoule,Amp.,,,
Hydrocortisone,Injection,100mg/vial,Vial,,,
Aminophylline,Injection,25mg/ml  in 10ml  Ampoule,Amp.,,,
Beclomethasone,Aerosol inhalation,0.050mg/metered dose,Spray,,,
Salbutamol,"Tablets Syrup","2mg, 4mg (Sulphate) 2mg/5ml  (Sulphate)","Tab. 100mls",,,
Salbutamol,"Aerosol Injection","0.1mg/metered dose 500ug/ml","Spray Amp.",,,
"Dextromethorphan hydrobromide",Syrup,15mg/5ml,100mls,,,
"Ascorbic Acid (Vitamin  C)","Tablets   Syrup Effervescent tablets","100mg 200 mg 500 mg 100mg/5ml, 200mg/5ml, 500mg/5ml 1g","Tab. Tab. Tab. 100mls Tab.",,,
Cyanocobalamin (B12),"Injection Tablet","0.25mg in 1ml, 1mg/ml 0.05 mg","Amp. Tab.",,,
Ergocalciferol (Vit. D),"Oral solution Tablets, capsules","0.25mg /ml 0.25mg, 1.25mg","Amp. Tab.",,,
Multivitamin,"Syrup Capsules Drops",,"100mls Caps. 10mls",,,
"Pyridoxine (Vitamin B6)",Tablets,"10,20,50, mg  (HCL)",Tab.,,,
Retinol (Vitamin A),"Tablets/Capsules  Syrup/Emulsion","1.5mg, 7.5mg , 15mg (5 000,25 000, 50 000 units) respectively. 10000iu(5.5mg)/5ml","Caps.  60mls 2000mls",,,
"Riboflavine (Vitamin B2)",Tablets,5mg,Tab.,,,
Thiamine (Vitamin B1),Tablets,"25, 50mg (HCL)",Tab.,,,
Vitamin  B Complex,"Tablets/Capsules Syrup Injection",,"Tab. 100mls Vial",,,
Yeast BPC,Tablets,300mg,Tab.,,,
Folic acid,Tablet,5 mg,Tab.,,,
,,,,,,
Calcium Gluconate,Tablets,600mg,Tab.,,,
Sodium Fluoride,Tablet,2.2 mg,Tab.,,,
Infusion set,Unit,Unit,Unit,,,
Blood given set,Unit,Unit,Unit,,,
Syringe/Needle,Unit,"2ml 5ml 10ml 20ml","Unit Unit Unit Unit",,,
Needle,Unit,Unit,Unit,,,
Scaip vein needle,Size,"20G,21G,22G,23G,25G",Unit,,,
IV Cannula,Size,"14G,16G,18G,20G-23G,25G",Unit,,,
RESTRICTRED DRUGS LIST,,,,,,
S/NO,DESCRIPTION,"PRICE =N=",,,,
A.   CLINICAL CHEMISTRY,,,,,,
1,CALCIUM/SODIUM/CHLORIDE/BI-CARBONATE/EACH,300,,,,
2,UREA/ELECTROLYTE/CREATININE/EACH,350,,,,
3,FASTING BLOOD SUGAR/RANDOM BLOOD SUGAR/EACH,250,,,,
4,2 HRS. POST PRANDIAL,500,,,,
5,G.T.T.,800,,,,
6,BILIRUBIN (TOTAL AND CONJUGATED),300,,,,
7,SGOT/SGPT/EACH,300,,,,
8,ALKALINE PROSPHATASE,300,,,,
9,LFT,700,,,,
10,TOTAL PROTEIN/ALBUMIN/EACH,300,,,,
11,G-6 PHOSPHATE DEHYDROGENASE,"1,500",,,,
12,CREATINE CLEARANCE,500,,,,
13,TOTAL ACID PHOSPHASE/INORGANIC PHOSPHATES,300,,,,
14,CHOLOSTEROL/AMYLASE/EACH,300,,,,
15,TRYGLYCERIDE,600,,,,
16,CSF (GLUCOSE/CHLORIDE/PROTEIN/CHEMISTRY,800,,,,
17,HDL-CHOLESTEROL,400,,,,
18,LDL-CHOLESTEROL,700,,,,
19,PSA (QUANTITATIVE),"1,000",,,,
20,PSA (QUALITATIVE),500,,,,
21,URIC ACID,300,,,,
22,LIPID PROFILE,"1,500",,,,
23,24 HR URINARY PROTEIN/CALCIUM/EACH,400,,,,
24,BENCE JONES PROTEIN,500,,,,
25,CROSS REACTIVE PROTEIN,500,,,,
26,BUN,300,,,,
27,ALPHA FETO PROTEIN,"1,500",,,,
B.  MICROBIOLOGY/PARASITOLOGY,,,,,,
1,URINE M/C/S,400,,,,
2,URINE ANALYSIS,150,,,,
3,URINE PREGNANCY TEST,250,,,,
4,STOOL ANALYSIS,200,,,,
5,OCCULT BLOOD/FOB,300,,,,
6,HVS WITH SPECULIUM,500,,,,
7,ENDO CERVICAL SWABS/ MCS,300,,,,
8,SPUTUM/M/C/S,300,,,,
9,URETHRAL/WOUND/ MCS,300,,,,
10,BLOOD M/C/S,800,,,,
11,SEMEN M/C/S,400,,,,
12,SEMEN ANALYSIS,300,,,,
13,EAR/EYE/THROAT SWAB/ M/C/S/EACH,300,,,,
14,ASPIRATE PUS M/C/S,300,,,,
15,MP,150,,,,
16,SKIN SNIP FOR MF,300,,,,
17,TRYPANOSOMES/LEISHMANIA/EACH,300,,,,
18,AFB FOR TB,600,,,,
19,SKIN SCRAPING FOR FUNGAL ELEMENTS,600,,,,
20,GRAM STAIN,200,,,,
21,CHLAMYDIA,"1,500",,,,
22,SCHICK/DICK SCARLET TEST/EACH,300,,,,
23,CULTURE (FUNGAL),500,,,,
24,MANTOUX TEST,350,,,,
C.  SEROLOGY,,,,,,
1,WIDAL,300,,,,
2,VDRL,300,,,,
3,ASO TITRE,"1,500",,,,
4,RHEUMATOID FACTOR,"1,500",,,,
5,PREGNANCY TEST HCG (BLOOD),300,,,,
6,BLOOD GROUPING,300,,,,
7,DIRECT/INDIRECT COOMBS TEST/EACH,300,,,,
8,TPHA,500,,,,
9,HEPATITIS B SURFACE ANTIGEN SCREENING,500,,,,
10,SCREENING FOR HIV 1 & 2,700,,,,
11,HIV CONFIRMATORY,"2,100",,,,
12,VIRAL LOAD,"4,000",,,,
D.  HAEMATOLOGY,,,,,,
1,HAEMOGLOBIN,300,,,,
2,PCV,200,,,,
3,WBC (DIFF.),150,,,,
4,FBC,500,,,,
5,RBC/WBC/EACH,200,,,,
6,ESR WESTERGREEN,150,,,,
7,PLATELETES/RETICULYTE COUNT,300,,,,
8,BLOOD FILM,200,,,,
9,PLATELETES CONCENTRATION,"1,500",,,,
10,CRYOPRECIPITATE FACTOR,"2,000",,,,
11,MCV/MCH/MCHC/EACH,150,,,,
12,HB GENOTYPE,250,,,,
13,FIBRINOGEN ESTIMATION,500,,,,
14,BLEEDING/CLOTTING TIME/EACH,250,,,,
15,PROTHROMBIN/THROMBOPLASTIN TIME/EACH,600,,,,
16,BLOOD BAG,500,,,,
17,CD4 COUNT,"3,000",,,,
18,X-MATCHING,350,,,,
19,SCREEN BLOOD,,,"2,500",,
20,LE CELLS,,,600,,
21,HCV,,,700,,
22,DONOR SCREENING,,,"1,500",,
E.  HORMONES,,,,,,
1,FSH/TSH/LH/PROG/T3/T4/EACH,,,"2,500",,
2,PROG/E2 TEST,,,"1,000",,
F.  HISTOPATHOLOGY,,,,,,
1,"MINOR HISTOPATHOLOGICAL SERVICES E.G PAP SMEAR,",,,,,
,FINE NEEDLE ASPIRATION ETC.,,,"2,500",,
2,"MAJOR HISTOPATHOLOGICAL SERVICES E.G BREAST TISSUE,",,,,,
,LYMPH NODE BIOPSY ETC.,,,"3,500",,
"SECTION III     RADIOLOGICAL AND ULTRA SONOGRAPHIC INVESTIGATIONS                                            PRICE  LIST   DESCRIPTION     PRICE   =N=  UPPER LIMB    HAND 700",,,,,,
DESCRIPTION,,,,,,PRICE   =N=
UPPER LIMB,,,,,,
HAND,,,,,,700
WRIST,700,,,,,
FOREARM,700,,,,,
ELBOW,700,,,,,
HUMERUS,800,,,,,
SHOULDER,800,,,,,
CLAVICLE,800,,,,,
,,,,,,
LOWER LIMB,,,,,,
FOOT/TOE,700,,,,,
ANKLE,800,,,,,
LEG (TIBIA/FIBULA),800,,,,,
KNEE,800,,,,,
HIP,800,,,,,
FEMUR OR THIGH,"1,000/FILM",,,,,
PELVIC (AP),800,,,,,
,,,,,,
THORAX,,,,,,
CHEST (PA/AP),800,,,,,
CHEST (PA/LATERAL),800/FILM,,,,,
CHEST FOR RIBS (OBLIQUES),800,,,,,
APICAL/LORDOTIC,800/FILM,,,,,
STERNUM,800,,,,,
THORACIC INLET,800,,,,,
,,,,,,
VERTEBRAE,,,,,,
CERVICAL SPINE,800,,,,,
LATERAL NECK (SOFT TISSUE),800,,,,,
THORACIC SPINE,800,,,,,
THORACO LUMBER SPINE,850,,,,,
LUMBER SPINE,800,,,,,
LUMBO SACRAL SPINE,850,,,,,
SACRUM,800,,,,,
SACRO ILLIAC JOINT (S.I.J.),800,,,,,
CERVICAL SPINE  (OBLIQUES),800,,,,,
SACRO-COCCXY,850,,,,,
,,,,,,
ABDOMEN,,,,,,
ABDOMEN (PLAIN),800,,,,,
ABDOMEN (ERECT/SUPINE),800/FILM,,,,,
ABDOMEN (PREGNANCY),800,,,,,
SKULL SERIES,,,,,,
SKULL (AP/LAT),800/FILM,,,,,
SKULL (PA/LAT/TOWNES),800/FILM,,,,,
MASTOIDS,800,,,,,
SINUSES  AP/LNT/OM,800/FILM,,,,,
MANDIBLES (JAW),800/FILM,,,,,
TEMPORO-MANDIBULAR JOINTS  (TMJ),"1,200",,,,,
SELLA TURCICA,800,,,,,
TAGENTIAL,800,,,,,
OCCIPITO-MENTAL (OM),800,,,,,
,,,,,,
SPECIAL INVESTIGATIONS,,,,,,
BARIUM SWALLOW,"3,500",,,,,
BARIUM MEAL/FOLLOW THROUGH,"6,500",,,,,
BARIUM ENEMA,"5,000",,,,,
INTRAVENOUS UROGRAPHY (IVU),"6,000",,,,,
HYSTEROSALPINGOGRAM  (HSG),"5,000",,,,,
CYSTO-URETHROGRAM,"4,500",,,,,
FISTULOGRAM,"4,000",,,,,
MYELOGRAM,"7,500",,,,,
SKELETAL SURVEY,"7,000",,,,,
ELECTROCARDIOGRAM (E C G),"1,500",,,,,
ULTRASOUND SCAN (OBST),"1,000",,,,,
ULTRASOUND SCAN (GYNAE/ABDOMEN),"1,000",,,,,
COMPUTERIZED TOMOGRAPHIC,,,,,,
SCAN (CT-SCAN),"25,000",,,,,
